stage_id,phase,dataset,method,fusion_mode,regime,seed_id,init_seed,sampler_seed,worker_seed,augmentation_seed,corruption_seed,epochs,lr,batch_size,config,config_sha256,output_dir,resume_stage_id,resume,checkpoint_for_eval,endpoint_role,claim_bearing,descriptive_single_seed,split_protocol,evidence_version
M3-011,main,vaihingen,qalf,dynamic_gated,clean_continuation,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-011_vaihingen_qalf_clean_continuation.yaml,21368BA1F6E407553635E3BE1578A3E59FC701D44FAAE6267B1305F621575050,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/clean_continuation,M3-010,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-012,main,vaihingen,qalf,dynamic_gated,robust,101,10111,10122,10133,10144,10155,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-012_vaihingen_qalf_robust.yaml,EA4BCBAEDECB71E60CBB82CC661F32B11BAE2D2C0EDF116B28515840F8C10B65,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/robust,M3-010,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_101/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-013,main,vaihingen,qalf,dynamic_gated,base_clean,202,20211,20222,20233,20244,20255,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-013_vaihingen_qalf_base_clean.yaml,340F441F402525ED0EBEA30FC2DF27ED2D905ACD152A0EC4B8822E6AAC9B6F5C,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-014,main,vaihingen,qalf,dynamic_gated,clean_continuation,202,20211,20222,20233,20244,20255,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-014_vaihingen_qalf_clean_continuation.yaml,3A059FED770F87D9A1B62244DC90F21ABBDF57EDE0D8610B1F1B8652CC74A770,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/clean_continuation,M3-013,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-015,main,vaihingen,qalf,dynamic_gated,robust,202,20211,20222,20233,20244,20255,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-015_vaihingen_qalf_robust.yaml,B69F592CFF5DE71FB4B3B50D97CC121B9839D1C52481EA6F8911C59DFD8D114C,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/robust,M3-013,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_202/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-016,main,vaihingen,qalf,dynamic_gated,base_clean,303,30311,30322,30333,30344,30355,45,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-016_vaihingen_qalf_base_clean.yaml,FB192FA96B3BCAB66837720F91210A5D868EB41F646E7CABF6D3664B555DC75B,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/base_clean,,,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-017,main,vaihingen,qalf,dynamic_gated,clean_continuation,303,30311,30322,30333,30344,30355,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-017_vaihingen_qalf_clean_continuation.yaml,7524638787F138FB39072747506CBB8B272FF913178ED5ED7053F8EEF7807953,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/clean_continuation,M3-016,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-018,main,vaihingen,qalf,dynamic_gated,robust,303,30311,30322,30333,30344,30355,28,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-018_vaihingen_qalf_robust.yaml,56E810899B45B7FEF3849E80A3C44F279ECE742A783502035FE0A323CEFF6529,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/robust,M3-016,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/vaihingen/qalf/seed_303/robust/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-019,main,potsdam,fixed_late,fixed_average,base_clean,101,10111,10122,10133,10144,10155,35,0.0003,8,configs/minimal_claim_m2_r2_20260716/main/m3-019_potsdam_fixed_late_base_clean.yaml,E31B643BD3AF1A99650E6ADEA2C74A39A5CD21704A51C804DB494C7C1288B2CA,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/base_clean,,,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/base_clean/last_model.pt,budget_anchor,false,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
M3-020,main,potsdam,fixed_late,fixed_average,clean_continuation,101,10111,10122,10133,10144,10155,13,3e-05,8,configs/minimal_claim_m2_r2_20260716/main/m3-020_potsdam_fixed_late_clean_continuation.yaml,51B03F11C43EB6EA1166B0B3F0DDE63F009507D6FF072B56BC74F005A949850E,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/clean_continuation,M3-019,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/base_clean/last_model.pt,outputs/qalf_minimal_m2_20260715/main/potsdam/fixed_late/seed_101/clean_continuation/last_model.pt,primary,true,false,qalf-confirmatory-v1,qalf_minimal_m2_20260715
